Facility ID,CMS ID,Twitter Handle,Address,City,State,ZIP Code,County Name,Phone Number,Hospital Type,Hospital Ownership,Emergency Services
Barnes-Kasson County Hospital,391309,,2872 TURNPIKE STREET,SUSQUEHANNA,PA,18847,SUSQUEHANNA,(570) 853-3135,Critical Access Hospitals,Voluntary non-profit - Private,Yes
Penn Highlands Brookville,391312,,100 HOSPITAL ROAD,BROOKVILLE,PA,15825,JEFFERSON,(814) 849-2312,Critical Access Hospitals,Voluntary non-profit - Private,Yes
Upmc Cole,391313,,1001 EAST SECOND STREET,COUDERSPORT,PA,16915,POTTER,(814) 274-9301,Critical Access Hospitals,Voluntary non-profit - Other,Yes
Titusville Hospital,391314,,406 WEST OAK STREET,TITUSVILLE,PA,16354,CRAWFORD,(814) 827-1851,Critical Access Hospitals,Voluntary non-profit - Private,Yes
Penn Highlands Elk,391315,,763 JOHNSONBURG ROAD,SAINT MARYS,PA,15857,ELK,(814) 788-8000,Critical Access Hospitals,Voluntary non-profit - Private,Yes
Upmc Susquehanna Soldiers & Sailors,391316,,32-36 CENTRAL AVENUE,WELLSBORO,PA,16901,TIOGA,(570) 724-1631,Critical Access Hospitals,Voluntary non-profit - Private,Yes
Upmc Children'S Hospital Of Pittsburgh,393302,,ONE CHILDREN'S HOSPITAL DRIVE,PITTSBURGH,PA,15224,ALLEGHENY,(412) 692-5325,Childrens,Voluntary non-profit - Other,Yes
Children'S Hospital Of Philadelphia,393303,,34TH ST & CIVIC CENTER BLVD,PHILADELPHIA,PA,19104,PHILADELPHIA,(215) 590-3745,Childrens,Voluntary non-profit - Private,Yes
Children'S Home Of Pittsburgh,393304,,5324 PENN AVENUE,PITTSBURGH,PA,15224,ALLEGHENY,(412) 441-4884,Childrens,Voluntary non-profit - Private,No
St Christopher'S Hospital For Children,393307,,160 EAST ERIE AVE,PHILADELPHIA,PA,19134,PHILADELPHIA,(215) 427-5000,Childrens,Proprietary,Yes
Shriners Hospitals For Children - Philadelphia,393309,,3551 N BROAD STREET,PHILADELPHIA,PA,19104,PHILADELPHIA,(215) 430-4000,Childrens,Voluntary non-profit - Other,No
Norristown State Hospital,394001,,1001 STERIGERE STREET,NORRISTOWN,PA,19401,MONTGOMERY,(610) 313-1000,Psychiatric,Government - State,No
Danville State Hospital,394004,,50 KIRKBRIDE DRIVE,DANVILLE,PA,17821,MONTOUR,(570) 271-4500,Psychiatric,Government - State,No
Friends Hospital,394008,,4641 ROOSEVELT BOULEVARD,PHILADELPHIA,PA,19124,PHILADELPHIA,(215) 831-4600,Psychiatric,Proprietary,No
Clarks Summit State Hospital,394012,,1451 HILLSIDE DRIVE,CLARKS SUMMIT,PA,18411,LACKAWANNA,(570) 586-2011,Psychiatric,Government - State,No
Wernersville State Hospital,394014,,160 MAIN STREET,WERNERSVILLE,PA,19565,BERKS,(610) 670-4100,Psychiatric,Government - State,No
Warren State Hospital,394016,,33 MAIN DRIVE,NORTH WARREN,PA,16365,WARREN,(814) 723-5500,Psychiatric,Government - State,No
Philhaven Hospital,394020,,283 SOUTH BUTLER ROAD,MT GRETNA,PA,17064,LEBANON,(717) 273-8871,Psychiatric,Voluntary non-profit - Church,No
Belmont Behavioral Hospital,394023,,4200 MONUMENT AVENUE,PHILADELPHIA,PA,19131,PHILADELPHIA,(215) 877-2000,Psychiatric,Voluntary non-profit - Private,No
Torrance State Hospital,394026,,121 LONGVIEW DRIVE,TORRANCE,PA,15779,WESTMORELAND,(724) 459-8000,Psychiatric,Government - State,No
Fairmount Behavioral Health System,394027,,561 FAIRTHORNE AVENUE,PHILADELPHIA,PA,19128,PHILADELPHIA,(215) 487-4000,Psychiatric,Proprietary,No
"Montgomery County Emergency Service, Inc",394033,,50 BEECH DRIVE,NORRISTOWN,PA,19403,MONTGOMERY,(610) 279-6100,Psychiatric,Voluntary non-profit - Private,No
Horsham Clinic,394034,,722 EAST BUTLER PIKE,AMBLER,PA,19002,MONTGOMERY,(215) 643-7800,Psychiatric,Proprietary,Yes
Foundations Behavioral Health,394038,,833 EAST BUTLER AVE,DOYLESTOWN,PA,18901,BUCKS,(215) 345-0444,Psychiatric,Voluntary non-profit - Private,No
First Hospital Of Wyoming Valley,394039,,562 WYOMING AVENUE,KINGSTON,PA,18704,LUZERNE,(570) 552-3900,Psychiatric,Proprietary,No
Meadows Psychiatric Center,394040,,132 MEADOWS DRIVE,CENTRE HALL,PA,16828,CENTRE,(814) 364-2161,Psychiatric,Proprietary,Yes
Clarion Psychiatric Center,394043,,TWO HOSPITAL DR RD#3 BOX 188,CLARION,PA,16214,CLARION,(814) 226-9545,Psychiatric,Proprietary,Yes
Brooke Glen Behavioral Hospital,394049,,7170 LAFAYETTE AVENUE,FORT WASHINGTON,PA,19034,MONTGOMERY,(215) 641-5300,Psychiatric,Voluntary non-profit - Private,No
Roxbury Treatment Center,394050,,601 ROXBURY ROAD,SHIPPENSBURG,PA,17257,CUMBERLAND,(717) 532-4217,Psychiatric,Proprietary,No
Pennsylvania Psychiatric Institute,394051,,2501 NORTH THIRD STREET,HARRISBURG,PA,17110,DAUPHIN,(717) 782-4742,Psychiatric,Proprietary,Yes
Haven Behavioral Hospital Of Eastern Pennsylvania,394052,,145 NORTH 6TH STREET,READING,PA,19601,BERKS,(610) 406-4340,Psychiatric,Proprietary,No
Haven Behavioral Hospital Of Philadelphia,394053,,"3301 SCOTTS LANE, FOUR FALLS BUILDING",PHILADELPHIA,PA,19129,PHILADELPHIA,(215) 475-3400,Psychiatric,Proprietary,No
Lifecare Behavioral Health Hospital,394054,,225 PENN AVENUE 2ND FLOOR,PITTSBURGH,PA,15221,ALLEGHENY,(412) 247-2000,Psychiatric,Proprietary,No
Lancaster Behavioral Health Hospital,394055,,333 HARRISBURG AVENUE,LANCASTER,PA,17603,LANCASTER,(717) 740-4100,Psychiatric,Voluntary non-profit - Other,No
